GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME,year
Italy,14 Sep 2008,Sebastian Vettel,STR FERRARI,53,1:26:47.494,2008
Singapore,28 Sep 2008,Fernando Alonso,RENAULT,61,1:57:16.304,2008
Japan,12 Oct 2008,Fernando Alonso,RENAULT,67,1:30:21.892,2008
China,19 Oct 2008,Lewis Hamilton,MCLAREN MERCEDES,56,1:31:57.403,2008
Brazil,02 Nov 2008,Felipe Massa,FERRARI,71,1:34:11.435,2008
Australia,29 Mar 2009,Jenson Button,BRAWN MERCEDES,58,1:34:15.784,2009
Malaysia,05 Apr 2009,Jenson Button,BRAWN MERCEDES,31,55:30.622,2009
China,19 Apr 2009,Sebastian Vettel,RBR RENAULT,56,1:57:43.485,2009
Bahrain,26 Apr 2009,Jenson Button,BRAWN MERCEDES,57,1:31:48.182,2009
Spain,10 May 2009,Jenson Button,BRAWN MERCEDES,66,1:37:19.202,2009
Monaco,24 May 2009,Jenson Button,BRAWN MERCEDES,78,1:40:44.282,2009
Turkey,07 Jun 2009,Jenson Button,BRAWN MERCEDES,58,1:26:24.848,2009
Great Britain,21 Jun 2009,Sebastian Vettel,RBR RENAULT,60,1:22:49.328,2009
Germany,12 Jul 2009,Mark Webber,RBR RENAULT,60,1:36:43.310,2009
Hungary,26 Jul 2009,Lewis Hamilton,MCLAREN MERCEDES,70,1:38:23.876,2009
Europe,23 Aug 2009,Rubens Barrichello,BRAWN MERCEDES,57,1:35:51.289,2009
Belgium,30 Aug 2009,Kimi Räikkönen,FERRARI,44,1:23:50.995,2009
Italy,13 Sep 2009,Rubens Barrichello,BRAWN MERCEDES,53,1:16:21.706,2009
Singapore,27 Sep 2009,Lewis Hamilton,MCLAREN MERCEDES,61,1:56:06.337,2009
Japan,04 Oct 2009,Sebastian Vettel,RBR RENAULT,53,1:28:20.443,2009
Brazil,18 Oct 2009,Mark Webber,RBR RENAULT,71,1:32:23.081,2009
Abu Dhabi,01 Nov 2009,Sebastian Vettel,RBR RENAULT,55,1:34:03.414,2009
Bahrain,14 Mar 2010,Fernando Alonso,FERRARI,49,1:39:20.396,2010
